"Date","Price","Open","High","Low","Vol.","Change %"
"04/23/2023","33,580","33,580","33,580","33,580","","0.00%"
"04/21/2023","33,580","33,675","33,740","33,460","2.01M","-0.50%"
"04/20/2023","33,750","33,735","33,845","33,625","1.98M","-0.30%"
"04/19/2023","33,850","33,810","33,980","33,780","3.25M","0.07%"
"04/18/2023","33,825","33,900","33,945","33,615","3.21M","-0.15%"
"04/17/2023","33,875","33,850","33,920","33,715","3.71M","0.03%"
"04/16/2023","33,865","33,865","33,865","33,865","","0.00%"
"04/14/2023","33,865","33,950","34,090","33,760","3.16M","0.36%"
"04/13/2023","33,745","33,515","33,780","33,445","3.58M","0.19%"
"04/12/2023","33,680","33,540","33,775","33,495","2.70M","0.31%"
"04/11/2023","33,575","33,235","33,660","33,205","3.19M","1.31%"
"04/10/2023","33,140","32,805","33,295","32,765","3.29M","0.96%"
"04/09/2023","32,825","32,825","32,825","32,825","","0.00%"
"04/07/2023","32,825","32,510","32,885","32,510","3.89M","1.70%"
"04/06/2023","32,275","32,720","32,745","32,260","3.31M","-1.78%"
"04/05/2023","32,860","32,680","32,895","32,635","2.38M","0.57%"
"04/04/2023","32,675","32,555","32,780","32,510","4.11M","0.46%"
"04/03/2023","32,525","32,785","32,785","32,475","2.66M","-0.50%"
"04/02/2023","32,690","32,690","32,690","32,690","","0.00%"
"03/31/2023","32,690","32,425","32,755","32,375","3.02M","1.18%"
"03/30/2023","32,310","32,280","32,430","32,130","3.75M","0.70%"
"03/29/2023","32,085","31,975","32,100","31,885","2.11M","0.16%"
"03/28/2023","32,035","31,775","32,035","31,735","3.13M","1.17%"
"03/27/2023","31,665","31,915","31,915","31,505","3.52M","-0.46%"
"03/24/2023","31,810","31,910","31,955","31,640","4.15M","-0.34%"
"03/23/2023","31,920","31,590","31,940","31,555","3.01M","0.30%"
"03/22/2023","31,825","31,710","31,835","31,605","3.62M","1.26%"
"03/21/2023","31,430","31,525","31,600","31,360","2.56M","0.26%"
"03/20/2023","31,350","31,570","31,725","31,345","2.70M","-0.73%"
"03/19/2023","31,580","31,580","31,580","31,580","","0.00%"
"03/17/2023","31,580","31,575","31,660","31,355","3.92M","1.15%"
"03/16/2023","31,220","31,015","31,310","30,855","5.61M","-0.37%"
"03/15/2023","31,335","31,260","31,530","31,180","3.79M","1.26%"
"03/14/2023","30,945","31,380","31,390","30,920","6.42M","-2.34%"
"03/13/2023","31,685","31,575","31,760","31,205","6.01M","0.81%"
"03/12/2023","31,430","31,430","31,430","31,430","","0.00%"
"03/10/2023","31,430","31,400","31,530","31,265","6.05M","-1.09%"
"03/09/2023","31,775","32,000","32,075","31,775","4.81M","-0.31%"
"03/08/2023","31,875","32,040","32,055","31,820","5.66M","-1.42%"
"03/07/2023","32,335","32,455","32,605","32,335","3.37M","-0.52%"
"03/06/2023","32,505","32,330","32,520","32,190","2.53M","1.40%"
"03/05/2023","32,055","32,055","32,055","32,055","","0.00%"
"03/03/2023","32,055","32,160","32,205","31,915","3.96M","0.22%"
"03/02/2023","31,985","31,930","32,270","31,815","5.54M","0.25%"
"03/01/2023","31,905","31,905","31,905","31,905","","0.00%"
"02/28/2023","31,905","31,930","32,180","31,815","3.93M","0.28%"
"02/27/2023","31,815","31,810","31,825","31,545","5.52M","-0.89%"
"02/24/2023","32,100","32,330","32,520","32,080","3.34M","-0.90%"
"02/23/2023","32,390","32,110","32,515","32,100","3.96M","1.27%"
"02/22/2023","31,985","32,160","32,265","31,970","5.16M","-1.74%"
"02/21/2023","32,550","32,590","32,680","32,390","2.87M","-0.14%"
"02/20/2023","32,595","32,520","32,705","32,200","3.29M","0.34%"
"02/17/2023","32,485","32,315","32,770","32,315","3.16M","-0.88%"
"02/16/2023","32,775","32,350","32,850","32,330","4.32M","1.99%"
"02/15/2023","32,135","32,825","32,830","32,115","5.99M","-1.89%"
"02/14/2023","32,755","32,825","32,990","32,695","4.37M","0.60%"
